baseline,method,metric,mean_diff,ci95_low,ci95_high,significant_95,n_examples,n_boot
author_retriever,mean_author_embedding,hit@10,-0.0025342118460685015,-0.006588950753211975,0.0010136847849935293,False,1973,2000
author_retriever,mean_author_embedding,mrr@10,-0.0013920064084231853,-0.0026319702621549366,-0.00030985261983005377,True,1973,2000
author_retriever,mean_author_embedding,ndcg@10,-0.0013138748472556472,-0.0027081005391664803,-3.611190049923649e-05,True,1973,2000
author_retriever,graphsage_author,hit@10,-0.0015205270610749722,-0.0055879372521303585,0.0025468829029704682,False,1973,2000
author_retriever,graphsage_author,mrr@10,5.631584645016119e-05,-0.001981085125589743,0.0023218058166094113,False,1973,2000
author_retriever,graphsage_author,ndcg@10,-0.0002648342924658209,-0.002239299257053062,0.0017593856464372913,False,1973,2000
author_retriever,graphsage_author_metacluster,hit@10,0.0005068423924967647,-0.0030410541221499443,0.004054739139974117,False,1973,2000
author_retriever,graphsage_author_metacluster,mrr@10,-0.0001035808672895655,-0.0012432975287083536,0.0011627808300545435,False,1973,2000
author_retriever,graphsage_author_metacluster,ndcg@10,-0.00018602231284603477,-0.001361726803588681,0.0009195847203955044,False,1973,2000
author_retriever,graphsage_transformer_author,hit@10,0.0025342118460685015,-0.0025342118460685015,0.007602635771036148,False,1973,2000
author_retriever,graphsage_transformer_author,mrr@10,0.0013270420022308826,-0.0007765700676827692,0.0033565336198080327,False,1973,2000
author_retriever,graphsage_transformer_author,ndcg@10,0.0012937274295836687,-0.0012491500267060474,0.0037260585755575434,False,1973,2000
author_retriever,graphsage_transformer_author_metacluster,hit@10,0.0015205270610749722,-0.0030410541221499443,0.0060947793070226216,False,1973,2000
author_retriever,graphsage_transformer_author_metacluster,mrr@10,-0.00011363720841472968,-0.002111506095388904,0.0016719915700377885,False,1973,2000
author_retriever,graphsage_transformer_author_metacluster,ndcg@10,0.000321119005093351,-0.001936683975509368,0.0024499250634107735,False,1973,2000
